cl_opinion_id,x,y
110557,501.99,629.3
110551,700.55,633.4
799973,721.77,229.34
100010,583.12,380.7
90311,598.93,588.39
2784697,452.05,470.64
97023,527.98,470.48
145848,519.12,448.71
111549,658.61,431.77
111542,691.9,337.76
111541,629.95,389.44
111546,823.07,356.45
111544,429.82,595.11
107898,715.47,524.88
104272,500.6,478.63
2620886,523.02,463.44
97150,507.96,720.23
107701,671.27,580.7
112239,883.16,496.77
811779,288.44,524.8
108100,658.56,497.74
109855,657.75,487.99
109857,425.92,593.39
109859,469.52,511.7
109858,596.86,641.1
103701,686.35,559.5
111955,523.15,306.32
111957,742.33,285.91
111950,607.39,569.91
111959,773.78,464.35
111958,561.94,617.29
145770,730.68,272.96
145772,399.86,263.21
145773,734.91,206.43
145774,646.88,709.27
145776,610.22,616.78
145778,306.18,646.7
104710,774.14,374.05
109271,682.74,597.11
109270,765.69,496.17
109272,271.45,506.74
145818,587.92,716.57
217702,249.79,497.64
1087669,367.5,422.94
1087668,643.61,525.33
1087667,476.32,331.54
1087666,845.23,454.93
1087665,0.0,1060
1087664,328.5,366.54
108845,808.86,487.49
142896,629.41,600.86
118307,632.04,331.8
118303,677.94,704.65
118309,625.37,327.31
118308,493.56,236.74
145683,296.89,382.44
217512,647.12,502.96
145889,325.57,583.92
110518,663.74,367.51
110510,616.94,664.47
110516,527.54,573.28
110517,549.22,688.82
2784695,433.7,476.6
145792,333.28,357.08
106660,678.12,550.37
118214,718.22,450.41
112009,563.32,642.09
108316,548.72,454.99
218455,445.49,287.57
145695,823.86,219.69
103933,688.77,547.32
821432,425.23,422.56
821431,395.89,252.08
1728,542.54,482.66
1729,428.36,242.6
1726,386.81,328.27
1727,513.33,308.25
1724,369.38,631.24
1725,874.9,587.33
1722,417.87,355.66
1723,681.72,302.55
111009,314.92,422.34
111008,480.65,495.47
111003,649.36,649.49
111002,690.5,354.6
111000,711.59,349.68
111006,419.96,545.06
111004,640.98,346.19
110758,523.19,599.43
110759,295.55,250.12
110750,598.56,496.39
110751,437.05,428.83
110752,392.99,585.63
110754,767.74,375.76
110757,711.57,560.53
96668,448.27,579.08
112648,450.86,442.38
112641,463.27,551.4
112643,645.2,445.94
216734,195.77,394.5
216733,913.16,460.32
109428,573.94,362.47
109429,794.52,440.99
109420,383.49,450.06
109422,515.18,524.58
107038,782.42,391.0
92392,654.88,529.9
96033,578.03,608.97
105303,716.09,404.92
118284,402.11,335.11
106142,718.6,546.06
118289,776.85,483.57
2788983,565.59,621.22
2788982,477.3,345.49
931615,595.21,580.42
103017,613.75,566.19
103012,510.83,460.43
109746,552.59,626.55
101320,733.89,472.98
109576,296.31,637.34
109574,552.82,487.33
109572,898.35,462.86
109573,582.27,495.63
109570,604.06,535.82
145716,668.91,684.04
109571,297.95,478.42
145714,507.41,299.82
111630,648.11,345.7
111632,709.92,409.04
111634,339.44,307.47
111635,793.06,491.72
110273,588.29,441.55
110272,356.26,427.05
110271,381.41,545.75
110275,430.52,295.33
110274,395.3,289.3
105917,817.21,367.91
137740,473.01,363.67
137741,535.97,461.53
110782,480.09,471.26
107783,659.14,609.53
85668,674.57,378.27
109587,807.29,327.26
109586,379.48,565.58
109589,260.02,602.36
858086,632.27,422.74
858085,244.33,392.68
117858,404.93,426.92
117859,529.76,637.75
117852,435.23,519.82
117856,374.41,369.46
117854,757.62,254.63
117855,512.09,719.23
799980,727.97,213.47
799981,323.12,284.69
799982,492.38,773.96
799984,622.61,534.72
799985,609.24,261.24
799986,437.94,388.99
799987,202.83,621.43
3213873,374.2,572.62
3213872,379.01,267.73
3213871,506.84,175.18
621293,216.54,650.7
621294,494.39,308.22
103226,627.54,553.22
94074,535.28,588.67
100759,612.25,433.2
111954,636.25,470.74
111956,776.19,329.89
111953,691.66,444.81
145771,293.18,133.44
145775,676.45,38.86
145777,647.09,513.31
3211503,612.85,223.88
111469,367.47,613.89
111463,590.68,657.56
111462,259.4,448.7
111464,733.85,577.64
110593,821.8,467.31
110590,768.59,315.54
110594,744.61,357.67
110598,626.88,650.08
110599,591.02,544.92
110336,902.58,545.54
110335,378.09,570.7
110332,448.1,639.68
110333,614.9,517.64
110330,278.09,581.56
110331,611.77,304.63
110338,529.88,526.19
110339,697.94,521.05
104425,414.24,574.97
102861,497.35,666.3
110309,677.66,599.29
112379,398.31,356.62
112082,350.3,431.78
112083,295.61,308.05
112080,781.63,310.89
112081,467.98,673.93
112086,306.16,563.38
112087,734.31,659.59
112084,705.64,319.94
112085,748.68,298.69
112089,630.57,606.75
109958,667.23,692.36
798255,848.21,327.2
109954,598.72,647.92
109956,792.44,296.69
109957,384.77,590.65
109950,547.19,634.27
109952,598.42,617.59
111850,397.38,711.04
111856,591.54,533.85
111858,296.12,502.9
111859,296.75,586.33
2654756,701.69,291.22
2654754,420.0,450.85
2645639,962.41,289.25
856347,913.85,518.4
146790,713.35,324.81
89173,507.34,729.35
118022,639.45,376.29
118023,642.52,645.1
118021,579.71,344.01
118026,617.35,455.61
118027,622.12,603.07
118024,239.99,314.6
118029,295.53,356.09
2462772,416.68,372.13
121145,629.68,362.6
121147,403.36,373.31
121146,783.56,410.85
121149,388.28,356.05
121148,101.44,648.25
94174,601.26,658.98
90667,523.3,574.22
112684,366.82,549.21
104385,553.1,465.96
112680,315.57,281.73
112681,493.84,615.11
3217423,577.9,503.57
112683,546.0,684.53
105382,693.3,427.42
105525,624.61,451.18
3211502,525.59,500.03
112129,499.98,192.42
112128,482.15,162.68
112121,453.85,485.84
112123,767.64,407.25
112122,770.57,244.84
112125,711.84,312.79
112127,866.61,333.43
112126,547.51,307.17
2670795,932.4,558.93
2771752,453.58,234.78
2771753,341.69,548.49
620671,812.85,314.26
620673,583.29,692.0
620672,374.1,530.32
110141,606.55,434.32
110140,745.78,462.29
110143,701.08,407.53
110142,637.52,469.34
110145,707.13,464.33
110146,453.86,601.01
97675,430.73,657.15
145903,421.71,401.77
145902,396.18,505.71
